,1,building_id,name,building_type_id,year_built,base_area,stories,un_residential_floor,building_sqft,non_residential_sqft,p_ruzhulv,job_type_name,parcel_id2,geometry,kindergarten_weight,primary_weight,middle_weight,high_weight,school_cap_round
63,3625.0,3674.0,新城小学,5.0,2009.0,1358.0,3.0,0.0,4075.0,4075,0.6,service,308,"POLYGON Z ((114.1438804571001 30.491654229421155 0, 114.14355630210017 30.491600029421132 0, 114.1434173851001 30.49160713342115 0, 114.14342483610008 30.491683567421145 0, 114.1435439021001 30.491677604421167 0, 114.14376891110012 30.491713946421154 0, 114.1437634951001 30.49173987342112 0, 114.14369219110009 30.491729377421162 0, 114.14367899110019 30.491800034421143 0, 114.14353188710018 30.49180609042116 0, 114.14353690110013 30.491881553421134 0, 114.14366475010016 30.49187627442114 0, 114.14365603210015 30.49191764542115 0, 114.14372399210018 30.491928917421145 0, 114.14373170910008 30.491891996421142 0, 114.14382742810008 30.491907776421154 0, 114.14381963810015 30.49194510042116 0, 114.14388727410008 30.491956252421115 0, 114.14389492810008 30.491919026421154 0, 114.1439246511001 30.49192224542116 0, 114.14401088310015 30.491957935421166 0, 114.14404859010008 30.491890314421138 0, 114.14394214310008 30.491845678421154 0, 114.14391168710009 30.491840611421136 0, 114.14392732110016 30.491767437421114 0, 114.14385897510013 30.49175676542114 0, 114.14386446310019 30.491730470421142 0, 114.14408642010008 30.491766835421114 0, 114.14419728810017 30.491811396421152 0, 114.14423574610012 30.49174192942115 0, 114.14411603110014 30.491693619421138 0, 114.1438804571001 30.491654229421155 0))",0.0,1.0,0.0,0.0,272.0
64,4519.0,4623.0,神龙小学,5.0,0.0,1302.0,4.0,0.0,5210.0,5210,0.8,service,25,"POLYGON Z ((114.16751773666454 30.49823371738204 0, 114.16794861917295 30.49812328370383 0, 114.16790614562254 30.498030558603407 0, 114.167507792929 30.49812180835485 0, 114.16745443975876 30.49795431453241 0, 114.1678050268595 30.497872100610074 0, 114.16777798597015 30.497774262727592 0, 114.16737514435447 30.49787973248057 0, 114.16740669466249 30.49800567104515 0, 114.16728992624301 30.498042450705018 0, 114.16732646364214 30.498168669734966 0, 114.16740676445518 30.49814977712007 0, 114.16742751489473 30.49823357981089 0, 114.16751773666454 30.49823371738204 0))",0.0,1.0,0.0,0.0,347.0
65,4534.0,5246.0,神龙小学,5.0,1997.0,920.0,4.0,0.0,3680.0,3680,0.8,service,25,"POLYGON Z ((114.16673055514816 30.498365813367574 0, 114.16720779909603 30.49823048182714 0, 114.16715396614956 30.498061422934995 0, 114.16668962140487 30.498194579640288 0, 114.16673055514816 30.498365813367574 0))",0.0,1.0,0.0,0.0,245.0
66,4544.0,5261.0,神龙小学,5.0,1997.0,4082.0,4.0,0.0,16328.0,16328,0.8,service,51,"POLYGON Z ((114.16713734332279 30.497671352651324 0, 114.16770058196434 30.497506319202493 0, 114.16748788445108 30.49688955424274 0, 114.1669320226435 30.497031977265124 0, 114.16713734332279 30.497671352651324 0))",0.0,1.0,0.0,0.0,1089.0
67,5148.0,5095.0,万家湖小学,5.0,2021.0,5882.0,5.0,0.0,29410.0,29410,0.5,retail,426,"POLYGON Z ((114.17053882638966 30.466417027486898 0, 114.17134249857949 30.46634251483354 0, 114.17120944026992 30.465666578620905 0, 114.17042173507724 30.465725124277117 0, 114.17053882638966 30.466417027486898 0))",0.0,1.0,0.0,0.0,1961.0
68,5149.0,5096.0,万家湖小学,5.0,2021.0,2734.0,5.0,0.0,13673.0,13673,0.5,retail,426,"POLYGON Z ((114.17110665272577 30.46715117670998 0, 114.17149335343797 30.467138702493454 0, 114.17136445320057 30.46644430444037 0, 114.17098191056056 30.466548256244725 0, 114.17110665272577 30.46715117670998 0))",0.0,1.0,0.0,0.0,912.0
69,5150.0,5097.0,万家湖小学,5.0,2021.0,4321.0,5.0,0.0,21605.0,21605,0.5,retail,426,"POLYGON Z ((114.17069916165279 30.46782894247438 0, 114.17157651488154 30.467675093803937 0, 114.17147672114935 30.46720938972043 0, 114.17063679057017 30.46737987067957 0, 114.17069916165279 30.46782894247438 0))",0.0,1.0,0.0,0.0,1440.0
70,5151.0,5098.0,万家湖小学,5.0,2021.0,1081.0,5.0,0.0,5408.0,5408,0.5,retail,426,"POLYGON Z ((114.17015556544028 30.467660229766942 0, 114.1705713726577 30.467606174828678 0, 114.17051731771944 30.4673774808591 0, 114.17009735242985 30.467414903508665 0, 114.17015556544028 30.467660229766942 0))",0.0,1.0,0.0,0.0,361.0
71,5152.0,5099.0,万家湖小学,5.0,2021.0,695.0,5.0,0.0,3478.0,3478,0.5,retail,426,"POLYGON Z ((114.17002788248092 30.46719142684863 0, 114.1704696360687 30.46717812101767 0, 114.17043770207441 30.46701046754761 0, 114.17000659315138 30.467063690871438 0, 114.17002788248092 30.46719142684863 0))",0.0,1.0,0.0,0.0,232.0
72,5153.0,5100.0,万家湖小学,5.0,2021.0,1035.0,5.0,0.0,5175.0,5175,0.5,retail,426,"POLYGON Z ((114.16996734095007 30.466818530936052 0, 114.17032493515704 30.466826847080398 0, 114.17024593178573 30.46649835937864 0, 114.16993823444484 30.466573204677776 0, 114.16996734095007 30.466818530936052 0))",0.0,1.0,0.0,0.0,345.0
