alt_id,hid,pid,inc,sex,age,job,ptype_code,household_id,parcel_id,dparcel_id,distance
75,14585,1,14346,1,2,4,6,14585.0,191.0,429,6.708273313071303
40,19586,1,14567,1,3,4,6,19586.0,278.0,1,4.328956509331141
75,18916,1,14809,1,3,4,6,18916.0,198.0,429,6.708273313071303
68,22050,1,10292,1,4,2,6,22050.0,340.0,426,7.291602602570436
26,17313,1,12646,1,1,4,6,17313.0,205.0,345,7.046061964419048
42,21068,1,6230,1,4,2,6,21068.0,349.0,13,3.7368012301433144
22,19308,1,11776,1,3,4,6,19308.0,3.0,349,3.8149206613355893
44,98936,1,15120,2,4,2,6,98936.0,188.0,12,7.530552417873839
27,13026,1,5621,1,2,4,6,13026.0,279.0,353,8.066644171230395
42,18722,1,11335,1,3,4,6,18722.0,376.0,13,3.7368012301433144
91,21511,1,6721,1,4,2,6,21511.0,346.0,218,5.8238207312854575
42,21031,1,3099,1,4,2,6,21031.0,193.0,13,3.7368012301433144
75,16437,1,11016,1,2,4,6,16437.0,196.0,429,6.708273313071303
75,15754,1,7668,1,2,4,6,15754.0,205.0,429,6.708273313071303
15,20713,1,2455,1,4,2,6,20713.0,205.0,13,5.4903811826923965
78,10988,1,16973,1,2,4,6,10988.0,22.0,244,7.027820426073218
46,22511,1,8435,1,4,2,6,22511.0,290.0,3,5.16058011541745
107,75471,1,10751,1,3,2,6,75471.0,328.0,244,4.582655565795766
74,77520,1,15143,1,3,2,6,77520.0,341.0,429,7.651750298098959
51,13569,1,12466,1,2,4,6,13569.0,19.0,219,3.02064308370492
59,21805,1,4965,1,4,2,6,21805.0,352.0,50,4.667154336590391
108,23541,1,11658,1,4,2,6,23541.0,360.0,218,7.463575136918108
8,96500,1,12256,2,4,2,6,96500.0,12.0,275,7.293173304189067
30,21986,1,3172,1,4,2,6,21986.0,265.0,275,10.04853525692243
43,14750,1,12072,1,3,4,6,14750.0,279.0,12,4.26829215410315
40,15952,1,10508,1,2,4,6,15952.0,328.0,1,4.328956509331141
43,10419,1,11976,1,1,2,6,10419.0,56.0,12,4.26829215410315
78,10980,1,11036,1,2,4,6,10980.0,304.0,244,7.027820426073218
80,16784,1,8086,1,2,4,6,16784.0,13.0,219,5.925801750169954
94,99052,1,14665,2,4,2,6,99052.0,50.0,309,7.151784689861076
25,11777,1,12941,1,1,4,6,11777.0,245.0,345,4.742471696692911
93,99228,1,12760,2,4,2,6,99228.0,288.0,309,6.358786757408574
72,16348,1,11669,1,3,4,6,16348.0,253.0,426,6.11870200287075
109,77431,1,16235,1,1,2,6,77431.0,9.0,365,3.9054315893640137
64,17357,1,11624,1,2,4,6,17357.0,6.0,25,5.468208748579422
78,21996,1,7584,1,4,2,6,21996.0,360.0,244,7.027820426073218
1,10872,1,12992,1,3,2,6,10872.0,376.0,130,4.62047501828937
73,12452,1,13451,1,2,4,6,12452.0,5.0,426,6.280002970909728
74,14894,1,15368,1,3,4,6,14894.0,150.0,429,7.651750298098959
77,18546,1,10566,1,3,4,6,18546.0,346.0,13,3.8149206613355893
72,10706,1,14121,1,1,2,6,10706.0,253.0,426,6.11870200287075
69,76551,1,14479,1,3,2,6,76551.0,201.0,426,7.02109117048146
40,98319,1,11997,2,4,2,6,98319.0,345.0,1,4.328956509331141
26,23204,1,4874,1,4,2,6,23204.0,333.0,345,7.046061964419048
83,22719,1,7504,1,4,2,6,22719.0,349.0,218,7.3154961467033415
41,16176,1,13744,1,3,4,6,16176.0,346.0,14,6.304682337013816
109,19144,1,12806,1,3,4,6,19144.0,301.0,365,3.9054315893640137
94,16022,1,16290,1,2,4,6,16022.0,19.0,309,7.151784689861076
22,15408,1,12756,1,3,4,6,15408.0,294.0,349,3.8149206613355893
8,76121,1,19653,1,1,2,6,76121.0,10.0,275,7.293173304189067
47,96004,1,9249,2,4,2,6,96004.0,100.0,113,7.566684002828885
40,76823,1,21221,1,1,2,6,76823.0,457.0,1,4.328956509331141
70,98689,1,2112,2,4,2,6,98689.0,190.0,426,5.064801593486904
27,19178,1,11788,1,3,4,6,19178.0,205.0,353,8.066644171230395
68,21049,1,7651,1,4,2,6,21049.0,1.0,426,7.291602602570436
70,17330,1,10986,1,2,4,6,17330.0,193.0,426,5.064801593486904
28,10368,1,16920,1,3,2,6,10368.0,293.0,349,6.379216513349416
60,25164,1,1133,1,4,2,6,25164.0,22.0,274,1.0603034250993086
95,75409,1,16213,1,1,2,6,75409.0,14.0,309,5.492051553235139
80,24259,1,11676,1,4,2,6,24259.0,403.0,219,5.925801750169954
71,14892,1,13596,1,2,4,6,14892.0,9.0,426,3.6163373681955022
59,11945,1,8062,1,3,4,6,11945.0,297.0,50,4.667154336590391
25,11787,1,10611,1,3,4,6,11787.0,2.0,345,4.742471696692911
70,97341,1,2305,2,4,2,6,97341.0,100.0,426,5.064801593486904
73,14083,1,10928,1,3,4,6,14083.0,329.0,426,6.280002970909728
107,15802,1,13694,1,1,4,6,15802.0,345.0,244,4.582655565795766
12,13739,1,15029,1,1,4,6,13739.0,331.0,6,7.051093573527211
109,18790,1,10324,1,2,4,6,18790.0,3.0,365,3.9054315893640137
75,74987,1,18038,1,2,2,6,74987.0,13.0,429,6.708273313071303
14,24734,1,1699,1,4,2,6,24734.0,203.0,13,4.0998928274157125
90,23723,1,3478,1,4,2,6,23723.0,346.0,218,7.411593415974937
71,24389,1,9818,1,4,2,6,24389.0,5.0,426,3.6163373681955022
107,25229,1,5789,1,4,2,6,25229.0,348.0,244,4.582655565795766
37,24859,1,7638,1,4,2,6,24859.0,26.0,327,5.604653655761101
24,14738,1,15283,1,2,4,6,14738.0,334.0,344,4.757987305511405
46,10908,1,13917,1,3,2,6,10908.0,275.0,3,5.16058011541745
42,24039,1,6526,1,4,2,6,24039.0,279.0,13,3.7368012301433144
71,10347,1,17777,1,1,2,6,10347.0,278.0,426,3.6163373681955022
73,76514,1,14534,1,2,2,6,76514.0,7.0,426,6.280002970909728
72,12135,1,14217,1,3,4,6,12135.0,378.0,426,6.11870200287075
85,76340,1,15871,1,2,2,6,76340.0,18.0,218,2.895854434734065
42,14553,1,12657,1,3,4,6,14553.0,191.0,13,3.7368012301433144
17,76251,1,18117,1,2,2,6,76251.0,11.0,543,6.290855305776511
28,98645,1,8558,2,4,2,6,98645.0,16.0,349,6.379216513349416
16,17244,1,11228,1,1,4,6,17244.0,340.0,281,6.258216226535074
50,18170,1,14889,1,2,4,6,18170.0,13.0,219,3.9816853830049848
71,12194,1,10821,1,2,4,6,12194.0,208.0,426,3.6163373681955022
74,96717,1,11770,2,4,2,6,96717.0,190.0,429,7.651750298098959
71,11705,1,13782,1,1,4,6,11705.0,25.0,426,3.6163373681955022
109,14234,1,20977,1,2,4,6,14234.0,342.0,365,3.9054315893640137
16,17346,1,9363,1,1,4,6,17346.0,365.0,281,6.258216226535074
74,23660,1,4321,1,4,2,6,23660.0,277.0,429,7.651750298098959
34,76988,1,16806,1,3,2,6,76988.0,12.0,281,5.631246418657413
24,98336,1,5707,2,4,2,6,98336.0,6.0,344,4.757987305511405
86,11136,1,14001,1,3,4,6,11136.0,346.0,218,8.635132099409287
17,17344,1,14871,1,3,4,6,17344.0,340.0,543,6.290855305776511
78,97479,1,12244,2,4,2,6,97479.0,297.0,244,7.027820426073218
32,20868,1,5386,1,4,2,6,20868.0,365.0,286,4.0770474772952605
71,16292,1,8853,1,1,4,6,16292.0,5.0,426,3.6163373681955022
59,76871,1,15290,1,3,2,6,76871.0,279.0,50,4.667154336590391
16,19336,1,15742,1,1,4,6,19336.0,3.0,281,6.258216226535074
25,23931,1,9384,1,4,2,6,23931.0,201.0,345,4.742471696692911
70,75824,1,20947,1,2,2,6,75824.0,303.0,426,5.064801593486904
36,12418,1,10717,1,2,4,6,12418.0,328.0,204,8.512130837790325
12,23109,1,6671,1,4,2,6,23109.0,352.0,6,7.051093573527211
48,75430,1,22231,1,1,2,6,75430.0,380.0,244,4.075524871557769
71,21231,1,12411,1,4,2,6,21231.0,257.0,426,3.6163373681955022
47,11120,1,17787,1,3,4,6,11120.0,301.0,113,7.566684002828885
53,18666,1,11179,1,3,4,6,18666.0,457.0,221,6.954510536533835
104,16271,1,14756,1,1,4,6,16271.0,293.0,45,6.22392256340211
6,98666,1,10436,2,4,2,6,98666.0,12.0,284,5.5484147417611664
47,24241,1,5798,1,4,2,6,24241.0,190.0,113,7.566684002828885
69,18382,1,13810,1,3,4,6,18382.0,205.0,426,7.02109117048146
21,24604,1,9849,1,4,2,6,24604.0,14.0,412,7.400353243493386
74,22538,1,3137,1,4,2,6,22538.0,235.0,429,7.651750298098959
24,13438,1,10761,1,2,4,6,13438.0,197.0,344,4.757987305511405
54,18383,1,12045,1,1,4,6,18383.0,275.0,221,8.48099739525865
79,12381,1,6719,1,1,4,6,12381.0,17.0,218,3.391442270157094
72,97823,1,11095,2,4,2,6,97823.0,331.0,426,6.11870200287075
75,14230,1,13748,1,1,4,6,14230.0,305.0,429,6.708273313071303
43,21216,1,8288,1,4,2,6,21216.0,331.0,12,4.26829215410315
67,10602,1,19901,1,1,2,6,10602.0,204.0,426,5.5484147417611664
47,21169,1,8608,1,4,2,6,21169.0,274.0,113,7.566684002828885
23,75949,1,18628,1,1,2,6,75949.0,13.0,20,6.639786902616769
37,76762,1,13302,1,1,2,6,76762.0,275.0,327,5.604653655761101
78,76575,1,15984,1,2,2,6,76575.0,331.0,244,7.027820426073218
0,22491,1,9144,1,4,2,6,22491.0,349.0,130,6.242501232113177
48,74634,1,16921,1,1,2,6,74634.0,352.0,244,4.075524871557769
44,99089,1,8313,2,4,2,6,99089.0,379.0,12,7.530552417873839
78,20024,1,2686,1,4,2,6,20024.0,292.0,244,7.027820426073218
51,98740,1,9139,2,4,2,6,98740.0,16.0,219,3.02064308370492
24,11632,1,14017,1,2,4,6,11632.0,304.0,344,4.757987305511405
47,14218,1,18737,1,3,4,6,14218.0,279.0,113,7.566684002828885
88,22505,1,5154,1,4,2,6,22505.0,22.0,218,7.410044831884757
37,16836,1,15843,1,3,4,6,16836.0,13.0,327,5.604653655761101
7,12586,1,15700,1,2,4,6,12586.0,347.0,234,5.728247551357701
37,14267,1,14199,1,1,4,6,14267.0,345.0,327,5.604653655761101
78,16051,1,9130,1,3,4,6,16051.0,331.0,244,7.027820426073218
47,22187,1,9633,1,4,2,6,22187.0,345.0,113,7.566684002828885
67,77120,1,14342,1,1,2,6,77120.0,339.0,426,5.5484147417611664
69,19089,1,11976,1,1,4,6,19089.0,9.0,426,7.02109117048146
8,15167,1,7791,1,3,4,6,15167.0,64.0,275,7.293173304189067
78,19267,1,8903,1,1,4,6,19267.0,339.0,244,7.027820426073218
74,18053,1,7856,1,2,4,6,18053.0,198.0,429,7.651750298098959
96,76831,1,17557,1,3,2,6,76831.0,352.0,309,7.038270089733806
15,18120,1,9564,1,1,4,6,18120.0,329.0,13,5.4903811826923965
75,18020,1,13205,1,2,4,6,18020.0,340.0,429,6.708273313071303
70,17575,1,14497,1,2,4,6,17575.0,333.0,426,5.064801593486904
96,14246,1,13316,1,2,4,6,14246.0,100.0,309,7.038270089733806
44,21479,1,5799,1,4,2,6,21479.0,345.0,12,7.530552417873839
45,75129,1,17634,1,2,2,6,75129.0,22.0,106,4.2421640056049075
17,18965,1,13711,1,3,4,6,18965.0,190.0,543,6.290855305776511
50,13815,1,13883,1,3,4,6,13815.0,354.0,219,3.9816853830049848
44,10498,1,18541,1,2,2,6,10498.0,290.0,12,7.530552417873839
40,12024,1,13282,1,3,4,6,12024.0,305.0,1,4.328956509331141
109,75282,1,20531,1,2,2,6,75282.0,196.0,365,3.9054315893640137
74,75415,1,20520,1,1,2,6,75415.0,204.0,429,7.651750298098959
94,19892,1,4348,1,4,2,6,19892.0,3.0,309,7.151784689861076
53,10855,1,16490,1,2,2,6,10855.0,347.0,221,6.954510536533835
48,98178,1,13409,2,4,2,6,98178.0,356.0,244,4.075524871557769
41,12308,1,11779,1,2,4,6,12308.0,348.0,14,6.304682337013816
7,74683,1,15380,1,3,2,6,74683.0,19.0,234,5.728247551357701
66,17551,1,12091,1,2,4,6,17551.0,198.0,51,5.33254511999321
40,19759,1,11199,1,3,4,6,19759.0,371.0,1,4.328956509331141
42,25343,1,6327,1,4,2,6,25343.0,304.0,13,3.7368012301433144
75,16104,1,17189,1,2,4,6,16104.0,278.0,429,6.708273313071303
25,97494,1,9957,2,4,2,6,97494.0,14.0,345,4.742471696692911
1,19131,1,12727,1,2,4,6,19131.0,25.0,130,4.62047501828937
71,14904,1,7333,1,3,4,6,14904.0,5.0,426,3.6163373681955022
14,74672,1,15652,1,1,2,6,74672.0,304.0,13,4.0998928274157125
81,12154,1,10910,1,3,4,6,12154.0,19.0,218,4.878501466988923
73,76678,1,16265,1,3,2,6,76678.0,12.0,426,6.280002970909728
91,11730,1,9955,1,2,4,6,11730.0,360.0,218,5.8238207312854575
104,14244,1,16045,1,2,4,6,14244.0,276.0,45,6.22392256340211
25,98446,1,9935,2,4,2,6,98446.0,204.0,345,4.742471696692911
87,21505,1,6906,1,4,2,6,21505.0,339.0,218,7.9388249740792585
96,21800,1,10436,1,4,2,6,21800.0,113.0,309,7.038270089733806
75,76003,1,15862,1,3,2,6,76003.0,275.0,429,6.708273313071303
107,25305,1,3258,1,4,2,6,25305.0,352.0,244,4.582655565795766
47,76600,1,14700,1,2,2,6,76600.0,190.0,113,7.566684002828885
67,12311,1,11193,1,2,4,6,12311.0,3.0,426,5.5484147417611664
76,22904,1,10517,1,4,2,6,22904.0,375.0,44,9.1454800743766
69,12859,1,13078,1,3,4,6,12859.0,22.0,426,7.02109117048146
78,20590,1,11926,1,4,2,6,20590.0,328.0,244,7.027820426073218
25,24841,1,8957,1,4,2,6,24841.0,204.0,345,4.742471696692911
7,11205,1,8917,1,2,4,6,11205.0,346.0,234,5.728247551357701
17,18994,1,11747,1,3,4,6,18994.0,22.0,543,6.290855305776511
50,21448,1,6817,1,4,2,6,21448.0,9.0,219,3.9816853830049848
25,23564,1,7838,1,4,2,6,23564.0,2.0,345,4.742471696692911
24,24022,1,7038,1,4,2,6,24022.0,276.0,344,4.757987305511405
57,75097,1,17876,1,3,2,6,75097.0,530.0,221,5.866889553714632
88,75571,1,15214,1,3,2,6,75571.0,357.0,218,7.410044831884757
87,77019,1,14547,1,3,2,6,77019.0,365.0,218,7.9388249740792585
97,13251,1,14017,1,1,4,6,13251.0,19.0,309,7.466223525138987
109,12691,1,11927,1,2,4,6,12691.0,201.0,365,3.9054315893640137
37,96593,1,7910,2,4,2,6,96593.0,347.0,327,5.604653655761101
34,13227,1,14102,1,3,4,6,13227.0,5.0,281,5.631246418657413
22,98707,1,9632,2,4,2,6,98707.0,188.0,349,3.8149206613355893
78,24487,1,9515,1,4,2,6,24487.0,19.0,244,7.027820426073218
17,14435,1,14263,1,1,4,6,14435.0,235.0,543,6.290855305776511
42,97463,1,10789,2,4,2,6,97463.0,274.0,13,3.7368012301433144
75,15530,1,11564,1,3,4,6,15530.0,5.0,429,6.708273313071303
1,19700,1,11843,1,2,4,6,19700.0,349.0,130,4.62047501828937
23,11026,1,11694,1,3,4,6,11026.0,285.0,20,6.639786902616769
8,13330,1,11397,1,3,4,6,13330.0,191.0,275,7.293173304189067
38,19129,1,12433,1,3,4,6,19129.0,365.0,194,3.8149206613355893
14,77038,1,12983,1,3,2,6,77038.0,293.0,13,4.0998928274157125
86,76189,1,16191,1,2,2,6,76189.0,360.0,218,8.635132099409287
27,75866,1,13903,1,2,2,6,75866.0,301.0,353,8.066644171230395
41,75160,1,15472,1,2,2,6,75160.0,22.0,14,6.304682337013816
68,12743,1,14547,1,3,4,6,12743.0,13.0,426,7.291602602570436
54,21312,1,5706,1,4,2,6,21312.0,360.0,221,8.48099739525865
24,20863,1,6416,1,4,2,6,20863.0,236.0,344,4.757987305511405
108,98225,1,6720,2,4,2,6,98225.0,351.0,218,7.463575136918108
41,21094,1,8011,1,4,2,6,21094.0,380.0,14,6.304682337013816
76,15664,1,14882,1,2,4,6,15664.0,235.0,44,9.1454800743766
51,22795,1,3854,1,4,2,6,22795.0,287.0,219,3.02064308370492
51,97774,1,11968,2,4,2,6,97774.0,19.0,219,3.02064308370492
21,76127,1,20594,1,2,2,6,76127.0,297.0,412,7.400353243493386
79,20406,1,4937,1,4,2,6,20406.0,543.0,218,3.391442270157094
17,20828,1,-142,1,4,2,6,20828.0,3.0,543,6.290855305776511
78,16552,1,12406,1,3,4,6,16552.0,328.0,244,7.027820426073218
67,24404,1,2964,1,4,2,6,24404.0,204.0,426,5.5484147417611664
73,98436,1,7516,2,4,2,6,98436.0,205.0,426,6.280002970909728
69,98576,1,7956,2,4,2,6,98576.0,5.0,426,7.02109117048146
65,10802,1,17524,1,1,2,6,10802.0,434.0,25,6.9215953885533334
93,12165,1,11885,1,2,4,6,12165.0,352.0,309,6.358786757408574
96,22921,1,2359,1,4,2,6,22921.0,64.0,309,7.038270089733806
28,98235,1,6887,2,4,2,6,98235.0,196.0,349,6.379216513349416
47,97385,1,4651,2,4,2,6,97385.0,279.0,113,7.566684002828885
15,23659,1,6387,1,4,2,6,23659.0,316.0,13,5.4903811826923965
9,12889,1,10011,1,1,4,6,12889.0,371.0,9,3.7382919502735126
60,16737,1,15727,1,2,4,6,16737.0,18.0,274,1.0603034250993086
6,76317,1,18292,1,3,2,6,76317.0,2.0,284,5.5484147417611664
22,96926,1,11502,2,4,2,6,96926.0,333.0,349,3.8149206613355893
26,22851,1,11242,1,4,2,6,22851.0,205.0,345,7.046061964419048
57,20991,1,6755,1,4,2,6,20991.0,346.0,221,5.866889553714632
63,18784,1,14543,1,1,4,6,18784.0,10.0,308,4.221921895500725
18,23999,1,8309,1,4,2,6,23999.0,352.0,25,4.97791746751993
47,23956,1,18618,1,4,2,6,23956.0,281.0,113,7.566684002828885
41,21390,1,7055,1,4,2,6,21390.0,88.0,14,6.304682337013816
46,22697,1,8926,1,4,2,6,22697.0,25.0,3,5.16058011541745
74,19278,1,5830,1,1,4,6,19278.0,290.0,429,7.651750298098959
73,10886,1,15338,1,3,2,6,10886.0,337.0,426,6.280002970909728
48,76900,1,17065,1,3,2,6,76900.0,292.0,244,4.075524871557769
17,76112,1,19394,1,3,2,6,76112.0,190.0,543,6.290855305776511
