,tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
1996,1179439,11794390,28766,28766,shopping,non_mandatory,5.0,16.0,9.0,11.0,WALK,,,,72,,0out_0in
1997,1179434,11794340,28766,28766,othmaint,non_mandatory,21.0,16.0,14.0,15.0,DRIVEALONEFREE,,,,136,,0out_0in
1998,1183121,11831210,28856,28856,othdiscr,non_mandatory,12.0,16.0,12.0,13.0,WALK,,,,113,,0out_0in
1999,1185439,11854390,28913,28913,eatout,non_mandatory,2.0,16.0,14.0,17.0,WALK,,,,138,,0out_0in
2000,1186532,11865320,28939,28939,shopping,non_mandatory,22.0,16.0,9.0,13.0,TNC_SINGLE,,,,74,,1out_0in
2001,1186524,11865240,28939,28939,othdiscr,non_mandatory,17.0,16.0,15.0,17.0,WALK,,,,147,,0out_0in
2002,1186505,11865050,28939,28939,eatout,non_mandatory,22.0,16.0,6.0,6.0,DRIVEALONEFREE,,,,19,,1out_1in
2003,1186614,11866140,28941,28941,shopping,non_mandatory,16.0,16.0,9.0,16.0,WALK,,,,77,,0out_0in
2004,1186983,11869830,28950,28950,shopping,non_mandatory,3.0,16.0,9.0,10.0,TAXI,,,,71,,1out_0in
2005,1186978,11869780,28950,28950,othmaint,non_mandatory,11.0,16.0,10.0,15.0,WALK,,,,90,,0out_2in
2006,1188473,11884730,28987,28987,eatout,non_mandatory,7.0,16.0,12.0,20.0,WALK_LOC,,,,120,,1out_2in
2007,1189189,11891890,29004,29004,othdiscr,non_mandatory,1.0,16.0,9.0,19.0,WALK,,,,80,,0out_0in
2008,1193989,11939890,29121,29121,othmaint,non_mandatory,7.0,16.0,12.0,17.0,WALK,,,,117,,0out_2in
2009,1194232,11942320,29127,29127,othdiscr,non_mandatory,21.0,16.0,9.0,17.0,WALK,,,,78,,0out_0in
2010,1194560,11945600,29135,29135,othdiscr,non_mandatory,24.0,16.0,9.0,14.0,WALK,,,,75,,0out_0in
2011,1194872,11948720,29143,29143,escort,non_mandatory,8.0,16.0,7.0,7.0,WALK,,,,37,,0out_0in
2012,1194888,11948880,29143,29143,othdiscr,non_mandatory,4.0,16.0,14.0,14.0,WALK,,,,135,,0out_0in
2013,1195503,11955030,29158,29158,othdiscr,non_mandatory,11.0,16.0,10.0,13.0,WALK_LOC,,,,88,,1out_1in
2014,1195880,11958800,29167,29167,shopping,non_mandatory,22.0,16.0,9.0,16.0,WALK,,,,77,,0out_0in
2015,1197720,11977200,29212,29212,othmaint,non_mandatory,14.0,16.0,10.0,16.0,WALK_LOC,,,,91,,0out_0in
2016,1200057,12000570,29269,29269,othmaint,non_mandatory,16.0,16.0,13.0,15.0,WALK,,,,126,,0out_0in
2017,1201008,12010080,29292,29292,social,non_mandatory,15.0,16.0,9.0,17.0,WALK,,,,78,,0out_0in
2018,1201046,12010460,29293,29293,shopping,non_mandatory,16.0,16.0,8.0,16.0,WALK,,,,62,,0out_0in
2019,1202495,12024950,29329,29329,eatout,non_mandatory,13.0,16.0,12.0,14.0,WALK,,,,114,,0out_0in
2020,1202596,12025960,29331,29331,othdiscr,non_mandatory,17.0,16.0,14.0,16.0,WALK,,,,137,,0out_0in
