household_id,age,PNUM,sex,pemploy,pstudent,ptype,age_16_to_19,age_16_p,adult,male,female,has_non_worker,has_retiree,has_preschool_kid,has_driving_kid,has_school_kid,has_full_time,has_part_time,has_university,student_is_employed,nonstudent_to_school,is_student,is_gradeschool,is_highschool,is_university,school_segment,is_worker,home_zone_id,value_of_time,school_zone_id,school_location_logsum,distance_to_school,roundtrip_auto_time_to_school,workplace_zone_id,workplace_location_logsum,distance_to_work,workplace_in_cbd,work_zone_area_type,roundtrip_auto_time_to_work,work_auto_savings,work_auto_savings_ratio,free_parking_at_work,income,hhsize,HHT,auto_ownership,num_workers,sample_rate,income_in_thousands,income_segment,median_value_of_time,hh_value_of_time,num_non_workers,num_drivers,num_adults,num_children,num_young_children,num_children_5_to_15,num_children_16_to_17,num_college_age,num_young_adults,non_family,family,home_is_urban,home_is_rural,hh_work_auto_savings_ratio,auPkRetail,auPkTotal,auOpRetail,auOpTotal,trPkRetail,trPkTotal,trOpRetail,trOpTotal,nmRetail,nmTotal,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,household_density,employment_density,density_index,is_cbd
2822219,18,1,2,1,3,1,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True,8,2.9220038814547133,-1,,,0.0,9,15.428749460641615,0.53,True,0.0,3.33,14.864599,0.12387166,False,0,1,0,0,1,0.02,0.0,1,6.01,2.9220038814547133,0,1,1,0,0,0,0,1,0,False,False,True,False,0.12387166,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
2822230,19,1,2,2,2,4,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,3,True,8,7.558195608572484,12,12.656259331864534,0.72,6.04,25,15.543074447856814,1.14,True,0.0,8.04,24.2457,0.20204751,False,0,1,0,0,1,0.02,0.0,1,6.01,7.558195608572484,0,1,1,0,0,0,0,1,0,False,False,True,False,0.20204751,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
27726,52,1,1,3,3,2,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,10,5.584662029883316,-1,,,0.0,-1,,,False,,0.0,0.0,0.0,False,24000,1,4,0,0,0.02,24.0,1,6.01,5.584662029883316,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.186004126767736,12.403890115167114,9.180762007450875,12.39634439278583,7.379335812398483,10.548674760263006,7.306521923298712,10.495921687099004,7.567826158130381,10.694411506898852,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872,False
27748,57,1,2,3,3,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,10,3.010415373711742,-1,,,0.0,-1,,,False,,0.0,0.0,0.0,False,9200,1,6,0,0,0.02,9.2,1,6.01,3.010415373711742,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.186004126767736,12.403890115167114,9.180762007450875,12.39634439278583,7.379335812398483,10.548674760263006,7.306521923298712,10.495921687099004,7.567826158130381,10.694411506898852,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872,False
226939,20,1,2,3,3,2,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,False,10,1.4771252873630911,-1,,,0.0,-1,,,False,,0.0,0.0,0.0,False,20300,2,7,0,1,0.02,20.3,1,6.01,1.4771252873630911,1,2,2,0,0,0,0,2,0,True,False,True,False,0.20534334,9.186004126767736,12.403890115167114,9.180762007450875,12.39634439278583,7.379335812398483,10.548674760263006,7.306521923298712,10.495921687099004,7.567826158130381,10.694411506898852,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872,False
226939,23,2,1,1,3,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,10,1.4771252873630911,-1,,,0.0,22,15.238504564388512,1.95,True,0.0,12.96,24.641201,0.20534334,False,20300,2,7,0,1,0.02,20.3,1,6.01,1.4771252873630911,1,2,2,0,0,0,0,2,0,True,False,True,False,0.20534334,9.186004126767736,12.403890115167114,9.180762007450875,12.39634439278583,7.379335812398483,10.548674760263006,7.306521923298712,10.495921687099004,7.567826158130381,10.694411506898852,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872,False
256660,22,1,2,2,3,1,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,True,10,1.5416062020885206,-1,,,0.0,1,14.098626830690556,1.57,True,0.0,10.940001,18.8746,0.15728833,False,27800,2,7,0,2,0.02,27.8,1,6.01,1.5416062020885206,0,2,2,0,0,0,0,2,0,True,False,True,False,0.29182667,9.186004126767736,12.403890115167114,9.180762007450875,12.39634439278583,7.379335812398483,10.548674760263006,7.306521923298712,10.495921687099004,7.567826158130381,10.694411506898852,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872,False
256660,23,2,2,2,3,1,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,True,10,1.5416062020885206,-1,,,0.0,5,14.131499655555482,1.14,True,0.0,8.049999,16.1446,0.13453834,False,27800,2,7,0,2,0.02,27.8,1,6.01,1.5416062020885206,0,2,2,0,0,0,0,2,0,True,False,True,False,0.29182667,9.186004126767736,12.403890115167114,9.180762007450875,12.39634439278583,7.379335812398483,10.548674760263006,7.306521923298712,10.495921687099004,7.567826158130381,10.694411506898852,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872,False
304036,35,1,2,1,3,1,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,True,10,5.375799781329804,-1,,,0.0,14,13.603672885317994,1.41,True,0.0,10.719999,20.331402,0.16942835,False,23700,2,3,1,1,0.02,23.7,1,6.01,5.375799781329804,1,1,1,1,1,0,0,0,0,False,True,True,False,0.16942835,9.186004126767736,12.403890115167114,9.180762007450875,12.39634439278583,7.379335812398483,10.548674760263006,7.306521923298712,10.495921687099004,7.567826158130381,10.694411506898852,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872,False
304036,0,2,1,4,1,6,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,1,False,10,3.58565845414698,10,10.539866380559603,0.21,1.3,-1,,,False,,0.0,0.0,0.0,False,23700,2,3,1,1,0.02,23.7,1,6.01,5.375799781329804,1,1,1,1,1,0,0,0,0,False,True,True,False,0.16942835,9.186004126767736,12.403890115167114,9.180762007450875,12.39634439278583,7.379335812398483,10.548674760263006,7.306521923298712,10.495921687099004,7.567826158130381,10.694411506898852,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872,False
